PLAYER,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Connor McDavid,185,0,1,33.83,240,423,327,1.13,8.08,14.25,11.01,1068,890,54.55,1954,1553,55.72,1472,1199,55.11,115.38,94.10,55.08,21,8,0,12500000,0.15723270440251572
John Tavares,185,0,1,40.88,286,485,401,1.57,10.96,18.59,15.37,1064,835,56.03,2050,1466,58.30,1513,1153,56.75,124.96,77.56,61.70,27,7,1,11000000,0.13836477987421383
Jonathan Toews,188,0,3,27.54,236,355,291,0.96,8.22,12.37,10.14,1048,972,51.88,1878,1639,53.40,1388,1291,51.81,100.25,103.10,49.30,26,8,1,10500000,0.1320754716981132
Patrick Kane,178,0,1,34.21,341,598,454,1.12,11.23,19.70,14.96,1104,964,53.38,2049,1613,55.95,1499,1251,54.51,108.56,97.87,52.59,26,8,1,10500000,0.1320754716981132
William Nylander,183,1,8,13.52,130,246,190,0.97,9.31,17.62,13.61,536,408,56.78,1069,740,59.09,783,571,57.83,51.30,34.78,59.60,22,6,0,10277778,0.12928022641509435
Jack Eichel,188,1,2,27.83,303,485,392,1.06,11.55,18.48,14.94,1067,791,57.43,1777,1337,57.06,1412,1061,57.10,99.76,75.95,56.77,21,8,0,10000000,0.12578616352201258
Anze Kopitar,191,0,11,20.68,156,298,227,0.69,5.18,9.90,7.54,913,956,48.85,1705,1758,49.23,1266,1352,48.36,88.57,98.73,47.29,28,8,1,10000000,0.12578616352201258
Alex Ovechkin,191,1,1,37.49,338,668,501,1.33,11.97,23.65,17.73,1017,820,55.36,1923,1482,56.48,1477,1145,56.33,111.14,89.66,55.35,22,13,0,9538462,0.11998065408805031
Jamie Benn,188,0,129,26.53,189,329,255,1.12,7.98,13.88,10.76,880,704,55.56,1601,1309,55.02,1178,966,54.94,90.19,65.17,58.05,27,8,1,9500000,0.11949685534591195
Evgeni Malkin,191,0,2,19.85,188,324,245,0.93,8.82,15.20,11.50,787,640,55.15,1408,1090,56.37,1027,823,55.51,82.71,59.84,58.02,27,8,1,9500000,0.11949685534591195
