PLAYER,HEIGHT,HANDED,DRAFTED,GA60,xGA60,GSAx60,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Carey Price,191,0,5,2.64,2.34,-0.30,29,8,1,10500000,0.12883435582822086
Sergei Bobrovsky,188,0,300,2.91,2.54,-0.37,30,7,1,10000000,0.12269938650306748
Andrei Vasilevskiy,191,0,19,2.21,2.51,0.30,25,8,0,9500000,0.1165644171779141
Marc-André Fleury,188,0,1,2.04,2.55,0.51,34,3,1,7000000,0.08588957055214724
Tuukka Rask,191,0,21,2.27,2.25,-0.02,26,8,0,7000000,0.08588957055214724
John Gibson,188,0,39,2.98,2.87,-0.11,25,8,0,6400000,0.0785276073619632
Matt Murray,193,0,83,3.38,2.72,-0.66,26,4,0,6250000,0.07668711656441718
Connor Hellebuyck,193,0,130,2.66,2.94,0.28,25,6,0,6166666,0.07566461349693251
Jacob Markström,198,0,31,2.66,2.39,-0.27,30,6,1,6000000,0.0736196319018405
Cory Schneider,191,0,26,0.00,0.00,0.00,29,7,1,6000000,0.0736196319018405
Jonathan Quick,185,0,72,2.86,2.69,-0.16,27,10,1,5800000,0.07116564417177915
Martin Jones,193,0,300,3.28,2.83,-0.45,28,6,1,5750000,0.0705521472392638
Robin Lehner,193,0,46,2.29,2.55,0.26,28,5,1,5000000,0.06134969325153374
Semyon Varlamov,188,0,23,2.04,2.29,0.25,31,4,1,5000000,0.06134969325153374
Frederik Andersen,193,0,87,2.91,2.46,-0.45,26,5,0,5000000,0.06134969325153374
Ben Bishop,201,0,85,0.00,0.00,0.00,30,6,1,4916667,0.06032720245398773
Darcy Kuemper,196,0,161,2.56,2.49,-0.07,30,2,1,4500000,0.05521472392638037
Mikko Koskinen,201,0,31,3.14,2.79,-0.34,30,3,1,4500000,0.05521472392638037
Jordan Binnington,185,0,88,2.64,2.71,0.07,25,2,0,4400000,0.053987730061349694
Jake Allen,188,0,34,2.68,2.53,-0.15,25,4,0,4350000,0.05337423312883435
Devan Dubnyk,198,0,14,3.20,2.59,-0.61,29,6,1,4333333,0.053169730061349695
Braden Holtby,188,0,93,3.34,3.11,-0.23,30,2,1,4300000,0.05276073619631902
Antti Raanta,183,0,300,3.36,3.22,-0.14,29,3,1,4250000,0.05214723926380368
Elvis Merzlikins,191,0,76,2.77,2.64,-0.12,26,2,0,4000000,0.049079754601226995
Cam Talbot,193,0,300,2.59,2.44,-0.14,32,3,1,3666667,0.044989779141104295
Thomas Greiss,188,0,94,2.70,2.45,-0.25,34,2,1,3600000,0.044171779141104296
