Player,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA
Jake Allen,30,29,27,11,12,5,76,817,741,0.907,2.68,0,4.7,1703,12,0.444,2,101.0,-0.73
Frederik Andersen,31,24,23,13,8,3,70,668,598,0.895,2.96,0,3.0,1420,9,0.391,6,114.0,-8.46
Jonathan Bernier,32,24,23,9,11,1,65,757,692,0.914,2.99,0,5.0,1306,15,0.652,4,93.0,4.74
Jordan Binnington,27,42,41,18,14,8,108,1200,1092,0.91,2.65,0,7.3,2448,21,0.512,5,98.0,2.56
Mackenzie Blackwood,24,35,35,14,17,4,106,1081,975,0.902,3.04,1,5.7,2091,18,0.514,10,106.0,-6.41
Sergei Bobrovsky,32,31,30,19,8,2,88,935,847,0.906,2.91,0,5.3,1816,16,0.533,4,102.0,-1.86
Laurent Brossoit,27,14,11,6,6,0,30,368,338,0.918,2.42,1,2.6,744,7,0.636,0,88.0,3.9
Jack Campbell,29,22,22,17,3,2,46,585,539,0.921,2.15,2,4.3,1284,13,0.591,2,85.0,7.9
Thatcher Demko,25,35,35,16,18,1,99,1164,1065,0.915,2.85,1,7.8,2087,19,0.543,3,92.0,8.24
Casey DeSmith,29,20,17,11,7,0,48,543,495,0.912,2.54,2,3.4,1132,9,0.529,2,96.0,2.03
Chris Driedger,26,23,23,14,6,3,47,640,593,0.927,2.07,3,5.1,1362,15,0.652,3,80.0,11.96
Devan Dubnyk,34,22,18,6,11,2,63,602,539,0.895,3.2,1,2.7,1183,8,0.444,4,114.0,-7.54
Brian Elliott,35,30,26,15,9,2,82,738,656,0.889,3.06,2,2.8,1608,12,0.462,8,121.0,-14.01
Marc-André Fleury,36,36,36,26,10,0,71,989,918,0.928,1.98,6,8.0,2147,26,0.722,3,78.0,20.12
Anton Forsberg,28,8,8,3,4,1,24,264,240,0.909,3.21,0,1.6,449,6,0.75,1,99.0,0.32
Alexandar Georgiev,24,19,18,8,7,2,44,465,421,0.905,2.71,2,2.6,974,9,0.5,3,103.0,-1.16
John Gibson,27,35,35,9,19,7,101,1042,941,0.903,2.98,3,5.6,2031,15,0.429,7,105.0,-5.0
Thomas Greiss,35,34,29,8,15,8,79,894,815,0.912,2.7,2,5.6,1755,17,0.586,4,96.0,3.36
Philipp Grubauer,29,40,39,30,9,1,77,993,916,0.922,1.95,7,7.4,2367,26,0.667,5,84.0,14.48
Filip Gustavsson,22,9,7,5,1,2,17,254,237,0.933,2.16,0,2.2,472,6,0.857,0,73.0,6.4
Jaroslav Halák,35,19,17,9,6,4,46,482,436,0.905,2.53,2,2.7,1090,9,0.529,3,104.0,-1.59
Carter Hart,22,27,25,9,11,5,89,721,632,0.877,3.67,1,1.8,1456,9,0.36,8,134.0,-22.57
Connor Hellebuyck,27,45,45,24,17,3,112,1335,1223,0.916,2.58,4,9.1,2603,25,0.556,6,91.0,10.99
Adin Hill,24,19,17,9,9,1,46,530,484,0.913,2.74,2,3.4,1006,8,0.471,2,94.0,2.83
Marcus Högberg,26,14,10,4,7,0,40,322,282,0.876,3.74,0,0.8,642,3,0.3,3,135.0,-10.33
Braden Holtby,31,21,21,7,11,3,77,695,618,0.889,3.67,0,2.7,1260,7,0.333,5,120.0,-12.97
Ville Husso,25,17,15,9,6,1,49,460,411,0.893,3.21,1,2.0,917,7,0.467,2,116.0,-6.62
Michael Hutchinson,30,8,8,4,2,1,17,211,194,0.919,2.42,1,1.5,422,5,0.625,1,,
Carter Hutton,35,13,12,1,10,1,39,341,302,0.886,3.47,0,1.2,675,6,0.5,4,124.0,-7.58
Tristan Jarry,25,39,38,25,9,3,100,1100,1000,0.909,2.75,2,6.6,2185,24,0.632,7,99.0,1.34
Jonas Johansson,25,15,13,5,6,2,39,380,341,0.897,2.86,1,1.8,817,6,0.462,2,111.0,-3.99
Martin Jones,31,34,34,15,13,4,102,980,878,0.896,3.28,1,4.5,1868,15,0.441,12,113.0,-11.71
Kaapo Kähkönen,24,24,23,16,8,0,68,692,624,0.902,2.88,2,3.6,1414,10,0.435,3,107.0,-4.25
Anton Khudobin,34,32,32,12,11,7,76,799,723,0.905,2.54,3,4.4,1795,17,0.531,8,103.0,-2.39
Keith Kinkaid,31,9,7,3,2,1,21,205,184,0.898,2.59,1,1.0,486,3,0.429,3,,
Josef Kořenář,23,10,7,3,5,0,26,258,232,0.899,3.17,0,1.3,492,3,0.429,1,109.0,-2.23
Joonas Korpisalo,26,33,31,9,13,7,96,904,808,0.894,3.3,0,3.9,1747,13,0.419,8,115.0,-12.71
Mikko Koskinen,32,26,25,13,13,0,76,756,680,0.899,3.17,0,3.8,1438,12,0.48,4,109.0,-6.35
Darcy Kuemper,30,27,27,10,11,3,66,710,644,0.907,2.56,2,4.1,1547,15,0.556,3,101.0,-0.59
Kevin Lankinen,25,37,37,17,14,5,109,1204,1095,0.909,3.01,2,7.3,2175,19,0.514,5,98.0,1.92
Robin Lehner,29,19,19,13,4,2,44,505,461,0.913,2.29,1,3.2,1155,12,0.632,4,95.0,2.53
Jacob Markström,31,43,43,22,19,2,111,1161,1050,0.904,2.66,3,6.4,2508,23,0.535,8,104.0,-4.04
Curtis McElhinney,37,12,12,4,6,2,37,296,259,0.875,3.09,1,0.7,719,5,0.417,4,136.0,-9.73
Elvis Merzļikins,26,28,23,8,12,5,69,825,756,0.916,2.77,2,5.6,1497,14,0.609,2,91.0,7.01
Ryan Miller,40,16,14,4,8,2,51,432,381,0.882,3.51,0,1.3,871,5,0.357,4,128.0,-11.2
Petr Mrázek,28,12,12,6,2,3,23,298,275,0.923,2.06,3,2.2,671,7,0.583,1,84.0,4.45
Matt Murray,26,27,25,10,13,1,79,738,659,0.893,3.38,2,3.1,1404,14,0.56,8,116.0,-11.01
Alex Nedeljkovic,25,23,23,15,5,3,44,648,604,0.932,1.9,3,5.5,1392,15,0.652,0,74.0,15.7
Jake Oettinger,22,29,24,11,8,7,63,710,647,0.911,2.36,1,4.4,1604,12,0.5,3,96.0,2.41
Calvin Petersen,26,35,32,9,18,5,97,1095,998,0.911,2.89,0,6.9,2016,16,0.5,3,96.0,3.88
Carey Price,33,25,25,12,7,5,65,659,594,0.901,2.64,1,3.4,1479,14,0.56,6,107.0,-4.29
Jonathan Quick,35,22,22,11,9,2,58,566,508,0.898,2.86,2,2.7,1219,10,0.455,4,111.0,-5.85
Antti Raanta,31,12,11,5,5,2,38,401,363,0.905,3.36,0,2.2,679,6,0.545,2,103.0,-1.06
Tuukka Rask,33,24,24,15,5,2,53,611,558,0.913,2.28,2,4.0,1396,16,0.667,5,94.0,3.29
James Reimer,32,22,21,15,5,2,59,627,568,0.906,2.66,0,3.6,1331,10,0.476,1,102.0,-1.23
