Player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Noel Acciari,29,C,41,4,7,11,0,9,0.4,3,1,0,1,4,2,1,68,5.9,631,924,63,91,272,247,52.4
Sebastian Aho,23,F,56,24,33,57,16,32,7.2,14,7,3,7,22,11,0,148,16.2,1090,1168,25,38,365,327,52.7
Michael Amadio,24,C,25,0,3,3,-3,4,-0.2,0,0,0,0,2,1,0,24,0.0,314,753,16,8,94,94,50.0
Josh Anderson,26,RW,52,17,7,24,-10,38,2.5,15,1,1,5,6,1,0,125,13.6,854,985,25,139,7,5,58.3
Michael Anderson,21,D,54,1,10,11,0,30,2.9,1,0,0,1,8,0,2,52,1.9,1144,1271,74,66,0,0,0.0
Jaret Anderson-Dolan,21,C,34,7,4,11,-9,6,0.9,6,1,0,2,4,0,0,37,18.9,459,811,20,52,132,170,43.7
Lias Andersson,22,C,23,3,3,6,-4,12,0.4,3,0,0,0,3,0,0,23,13.0,278,724,9,8,20,32,38.5
Rasmus Andersson,24,D,56,5,16,21,-9,34,3.2,4,1,0,0,11,5,0,96,5.2,1189,1273,68,49,0,0,0.0
Anthony Angello,24,C,19,2,2,4,4,8,0.5,1,1,0,0,2,0,0,19,10.5,152,479,2,51,0,0,0.0
Artem Anisimov,32,C,19,2,7,9,1,2,0.8,1,1,0,0,7,0,0,30,6.7,228,722,9,9,36,52,40.9
Mason Appleton,25,C,56,12,13,25,11,14,2.9,12,0,0,1,12,0,1,88,13.6,807,865,22,61,7,6,53.8
Josh Archibald,28,RW,52,7,6,13,2,37,1.0,7,0,0,0,6,0,0,62,11.3,704,813,35,192,4,4,50.0
Joel Armia,27,RW,41,7,7,14,10,10,1.6,5,1,1,0,6,0,1,73,9.6,603,882,13,86,6,16,27.3
Viktor Arvidsson,27,LW,50,10,15,25,9,21,2.7,8,2,0,2,14,1,0,151,6.6,830,996,33,15,9,18,33.3
Rasmus Asplund,23,F,28,7,4,11,1,0,1.4,7,0,0,2,4,0,0,34,20.6,360,771,3,15,6,11,35.3
Zach Aston-Reese,26,C,45,9,6,15,10,15,1.6,8,0,1,0,6,0,0,79,11.4,658,877,24,95,7,11,38.9
Andreas Athanasiou,26,C,47,10,13,23,-6,27,2.3,10,0,0,1,12,1,0,85,11.8,703,897,16,11,4,0,100.0
Cam Atkinson,31,RW,56,15,19,34,-16,4,2.7,10,1,4,2,11,8,0,158,9.5,1060,1136,30,22,7,23,23.3
Nicolas Aubé-Kubel,24,RW,50,3,9,12,-3,44,0.4,3,0,0,0,9,0,0,53,5.7,559,670,16,120,2,2,50.0
David Backes,36,C,15,3,1,4,-4,4,0.3,3,0,0,1,1,0,0,30,10.0,191,764,16,31,81,79,50.6
Mikael Backlund,31,C,54,9,23,32,-7,30,2.4,8,0,1,1,16,6,1,144,6.3,950,1056,21,43,387,358,51.9
Nicklas Bäckström,33,C,55,15,38,53,0,14,5.3,10,5,0,0,21,17,0,91,16.5,1023,1116,27,25,353,378,48.3
Josh Bailey,31,C,54,8,27,35,12,4,3.6,8,0,0,1,18,9,0,77,10.4,945,1050,19,13,14,18,43.8
Rudolfs Balcers,23,LW,41,8,9,17,-6,16,1.4,8,0,0,2,8,1,0,66,12.1,603,883,29,81,0,3,0.0
Alexander Barabanov,26,F,22,3,5,8,1,6,0.7,2,1,0,1,5,0,0,23,13.0,271,739,14,7,0,0,0.0
Ivan Barbashev,25,C,38,5,7,12,5,6,1.0,4,1,0,1,7,0,0,43,11.6,507,801,15,49,82,107,43.4
Aleksander Barkov,25,C,50,26,32,58,12,14,7.3,18,7,1,6,20,12,0,176,14.8,1047,1256,37,31,563,463,54.9
Alex Barré-Boulet,23,F,15,3,0,3,0,0,0.2,1,2,0,0,0,0,0,26,11.5,229,915,5,8,1,3,25.0
Tyson Barrie,29,D,56,8,40,48,5,10,7.3,4,4,0,2,21,19,0,146,5.5,1198,1284,59,26,0,0,0.0
Mathew Barzal,23,C,55,17,28,45,15,48,5.6,16,1,0,1,21,7,0,134,12.7,1030,1124,13,22,152,198,43.4
Nathan Bastian,23,RW,41,3,7,10,0,21,0.4,3,0,0,0,7,0,0,46,6.5,517,757,25,136,12,21,36.4
Drake Batherson,22,C,56,17,17,34,-17,8,3.2,12,5,0,3,7,10,0,111,15.3,923,988,29,102,5,8,38.5
Jay Beagle,35,RW,30,1,4,5,-2,8,0.0,1,0,0,0,4,0,0,21,4.8,376,751,8,34,173,135,56.2
Jake Bean,22,D,42,1,11,12,-2,10,1.8,0,1,0,0,7,4,0,55,1.8,611,872,21,17,0,0,0.0
Ethan Bear,23,D,43,2,6,8,-1,14,1.7,2,0,0,1,6,0,0,53,3.8,772,1078,55,31,0,0,0.0
