player,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,HEIGHT,HANDED,DRAFTED,GA60,xGA60,GSAx60,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Jake Allen,29,24,21,12,6,3,48,655,607,0.927,2.15,2,4.9,1339,14,0.667,2,81.0,11.23,188,0,34,2.15,2.49,0.34,25,4,0,4350000,0.0533742331288343
Frederik Andersen,30,52,52,29,13,7,143,1577,1434,0.909,2.85,3,8.9,3007,27,0.519,8,100.0,-0.4,193,0,87,2.85,2.65,-0.21,26,5,0,5000000,0.0613496932515337
Jonathan Bernier,31,46,41,15,22,3,126,1353,1227,0.907,2.95,1,7.2,2566,17,0.415,5,103.0,-3.66,183,0,11,2.95,2.95,-0.01,29,3,1,3000000,0.0368098159509202
Jordan Binnington,26,50,50,30,13,7,126,1430,1304,0.912,2.56,3,8.4,2948,28,0.56,5,97.0,3.3,185,0,88,2.57,2.63,0.07,25,2,0,4400000,0.0539877300613496
Ben Bishop,33,44,43,21,16,4,103,1286,1183,0.92,2.5,2,8.7,2474,27,0.628,5,89.0,13.28,201,0,85,2.5,2.61,0.11,30,6,1,4916667,0.0603272024539877
Sergei Bobrovsky,31,50,48,23,19,6,151,1505,1354,0.9,3.23,1,6.9,2806,20,0.417,10,111.0,-14.91,188,0,300,3.23,2.93,-0.3,30,7,1,10000000,0.1226993865030674
Laurent Brossoit,26,19,15,6,7,1,54,512,458,0.895,3.28,0,2.1,988,7,0.467,1,117.0,-7.7,191,0,164,3.28,3.06,-0.22,26,1,0,1225000,0.0150306748466257
Jack Campbell,28,26,26,11,12,3,73,761,688,0.904,2.8,0,3.8,1567,11,0.423,4,106.0,-4.19,188,0,11,2.8,2.53,-0.26,26,2,0,675000,0.008282208588957
Corey Crawford,35,40,39,16,20,3,108,1294,1186,0.917,2.77,1,8.3,2340,25,0.641,3,92.0,9.01,188,0,52,2.77,2.94,0.18,29,6,1,6000000,0.0736196319018405
Aaron Dell,30,33,30,12,15,3,92,986,894,0.907,3.01,0,5.3,1834,15,0.5,5,103.0,-2.84,183,0,300,2.98,2.99,0.02,29,2,1,1900000,0.0233128834355828
Thatcher Demko,24,27,25,13,10,2,78,822,744,0.905,3.06,0,4.2,1529,15,0.6,5,105.0,-3.67,193,0,36,3.06,2.96,-0.1,23,2,0,1050000,0.012883435582822
