player,Age,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Noel Acciari,29,C,41,4,7,11,0,9,0.4,3,1,0,1,4,2,1,68,5.9,631,924,63,91,272,247,52.4,178,1,300,7.81,68,102,85,0.74,6.46,9.69,8.08,307.0,399.0,43.48,509.0,709.0,41.79,393.0,533.0,42.44,27.98,37.21,42.92,27,3,1,1666667,0.0204499018404907
Sebastian Aho,23,F,56,24,33,57,16,32,7.2,14,7,3,7,22,11,0,148,16.2,1090,1168,25,38,365,327,52.7,183,0,35,20.49,148,251,208,1.12,8.15,13.82,11.45,697.0,484.0,59.02,1286.0,843.0,60.4,957.0,644.0,59.78,82.48,51.9,61.38,21,5,0,8460250,0.1038067484662576
Michael Amadio,24,C,25,0,3,3,-3,4,-0.2,0,0,0,0,2,1,0,24,0.0,314,753,16,8,94,94,50.0,185,1,90,2.52,24,41,32,0.49,4.59,7.86,6.14,163.0,170.0,48.95,286.0,286.0,50.0,213.0,220.0,49.19,14.42,13.99,50.76,23,2,0,700000,0.0085889570552147
Josh Anderson,26,RW,52,17,7,24,-10,38,2.5,15,1,1,5,6,1,0,125,13.6,854,985,25,139,7,5,58.3,191,1,95,13.43,125,218,183,0.94,8.77,15.32,12.86,436.0,363.0,54.57,831.0,666.0,55.51,614.0,499.0,55.17,38.19,32.78,53.81,26,7,0,5500000,0.0674846625766871
Rasmus Andersson,24,D,56,5,16,21,-9,34,3.2,4,1,0,0,11,5,0,96,5.2,1189,1273,68,49,0,0,0.0,185,1,53,5.15,88,183,138,0.28,4.76,9.92,7.48,571.0,519.0,52.39,1088.0,938.0,53.7,813.0,730.0,52.69,53.25,50.8,51.18,23,6,0,4550000,0.0558282208588957
Artem Anisimov,32,C,19,2,7,9,1,2,0.8,1,1,0,0,7,0,0,30,6.7,228,722,9,9,36,52,40.9,193,0,54,2.76,29,53,42,0.77,8.09,14.79,11.72,103.0,109.0,48.58,209.0,203.0,50.73,150.0,143.0,51.19,9.13,8.33,52.29,27,5,1,4550000,0.0558282208588957
Mason Appleton,25,C,56,12,13,25,11,14,2.9,12,0,0,1,12,0,1,88,13.6,807,865,22,61,7,6,53.8,188,1,168,9.26,84,136,115,0.72,6.5,10.52,8.9,360.0,369.0,49.38,656.0,730.0,47.33,497.0,539.0,47.97,30.21,32.47,48.19,24,2,0,900000,0.011042944785276
Josh Archibald,28,RW,52,7,6,13,2,37,1.0,7,0,0,0,6,0,0,62,11.3,704,813,35,192,4,4,50.0,178,1,174,9.48,60,99,83,0.85,5.35,8.83,7.41,262.0,387.0,40.36,476.0,727.0,39.57,360.0,528.0,40.54,26.36,37.52,41.26,27,2,1,1500000,0.0184049079754601
Joel Armia,27,RW,41,7,7,14,10,10,1.6,5,1,1,0,6,0,1,73,9.6,603,882,13,86,6,16,27.3,193,1,16,5.65,72,122,92,0.57,7.36,12.47,9.41,286.0,280.0,50.53,547.0,521.0,51.22,387.0,401.0,49.11,23.74,28.53,45.42,26,2,0,2600000,0.0319018404907975
Viktor Arvidsson,27,LW,50,10,15,25,9,21,2.7,8,2,0,2,14,1,0,151,6.6,830,996,33,15,9,18,33.3,175,1,112,13.15,151,264,213,0.95,10.94,19.13,15.43,525.0,382.0,57.88,924.0,657.0,58.44,731.0,496.0,59.58,42.38,32.85,56.33,24,7,0,4250000,0.0521472392638036
