player,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,HEIGHT,HANDED,DRAFTED,GA60,xGA60,GSAx60,SIGNING AGE,LENGTH,SIGNING,CAP HIT,CAP_HIT_%
Jake Allen,28,46,45,19,17,8,121,1277,1156,0.905,2.83,3,6.5,2568,25,0.556,11,105.0,-5.9,188,0,34,2.83,2.66,-0.17,25,4,0,4350000,0.0547169811320754
Frederik Andersen,29,60,60,36,16,7,162,1958,1796,0.917,2.77,1,12.5,3510,38,0.633,7,92.0,14.48,193,0,87,2.77,2.92,0.15,26,5,0,5000000,0.0628930817610062
Jonathan Bernier,30,35,30,9,18,5,98,1025,927,0.904,3.16,1,5.1,1860,13,0.433,5,106.0,-5.61,183,0,11,3.16,3.0,-0.16,29,3,1,3000000,0.0377358490566037
Ben Bishop,32,46,45,27,15,2,87,1323,1236,0.934,1.98,7,10.8,2637,31,0.689,1,73.0,32.24,201,0,85,1.98,2.48,0.5,30,6,1,4916667,0.0618448679245283
Sergei Bobrovsky,30,62,61,37,24,1,153,1756,1603,0.913,2.58,9,10.4,3557,31,0.508,13,97.0,5.27,188,0,300,2.58,2.56,-0.02,26,4,0,7425000,0.0933962264150943
Laurent Brossoit,25,21,19,13,6,2,49,652,603,0.925,2.52,1,4.7,1165,12,0.632,2,83.0,9.77,191,0,164,2.52,3.06,0.53,25,1,1,650000,0.0081761006289308
Pheonix Copley,27,27,24,16,7,3,74,776,702,0.905,2.9,1,3.9,1529,14,0.583,4,106.0,-4.06,193,0,300,2.9,2.89,-0.01,25,2,1,650000,0.0081761006289308
Corey Crawford,34,39,39,14,18,5,108,1176,1068,0.908,2.93,2,6.3,2213,17,0.436,5,102.0,-2.0,188,0,52,2.93,2.94,0.01,29,6,1,6000000,0.0754716981132075
Aaron Dell,29,25,20,10,8,4,70,613,543,0.886,3.17,2,1.9,1323,6,0.3,6,127.0,-14.75,183,0,300,3.17,2.82,-0.36,29,2,1,1900000,0.0238993710691823
Louis Domingue,26,26,26,21,5,0,75,812,737,0.908,2.88,0,4.3,1561,14,0.538,2,102.0,-1.81,191,1,138,2.88,2.56,-0.32,26,2,0,1150000,0.0144654088050314
Devan Dubnyk,32,67,66,31,28,6,163,1877,1714,0.913,2.54,2,11.1,3855,38,0.576,13,96.0,6.18,198,0,14,2.54,2.23,-0.3,29,6,1,4333333,0.0545073333333333
Brian Elliott,33,26,23,11,11,1,69,741,672,0.907,2.96,1,3.9,1397,12,0.522,4,103.0,-2.21,188,0,291,2.96,2.89,-0.07,32,2,1,2750000,0.0345911949685534
Marc-André Fleury,34,61,61,35,21,5,152,1745,1593,0.913,2.51,8,10.3,3635,34,0.557,7,97.0,5.28,188,0,1,2.5,2.62,0.11,30,4,1,5750000,0.0723270440251572
John Gibson,25,58,57,26,22,8,153,1838,1685,0.917,2.84,2,11.6,3233,34,0.596,8,92.0,12.66,188,0,39,2.84,3.3,0.46,22,3,0,2300000,0.0289308176100628
Thomas Greiss,33,43,39,23,14,2,87,1185,1098,0.927,2.28,5,8.7,2294,25,0.641,7,81.0,19.81,188,0,94,2.27,2.62,0.34,31,3,1,3333333,0.041928716981132
Philipp Grubauer,27,37,33,18,9,5,89,1071,982,0.917,2.64,3,6.8,2021,20,0.606,5,92.0,7.53,185,0,112,2.64,2.59,-0.05,26,3,0,3333333,0.041928716981132
Jaroslav Halák,33,40,37,22,11,4,90,1158,1068,0.922,2.34,5,8.0,2308,22,0.595,4,86.0,14.37,180,0,271,2.34,2.6,0.26,33,2,1,2750000,0.0345911949685534
Connor Hellebuyck,25,63,62,34,23,3,179,2051,1872,0.913,2.9,2,12.1,3704,28,0.452,6,97.0,5.86,193,0,130,2.9,2.81,-0.09,25,6,0,6166666,0.0775681257861635
Braden Holtby,29,59,58,32,19,5,160,1795,1635,0.911,2.82,3,10.2,3407,33,0.569,9,99.0,1.79,188,0,93,2.82,2.98,0.16,25,5,0,6100000,0.0767295597484276
Jimmy Howard,34,55,52,23,22,5,156,1709,1553,0.909,3.07,0,9.3,3053,30,0.577,6,101.0,-1.96,185,0,64,3.07,3.09,0.02,29,6,1,5291666,0.0665618364779874
Carter Hutton,33,50,48,18,25,5,142,1541,1399,0.908,3.0,0,8.3,2840,25,0.521,5,102.0,-3.11,183,0,300,3.0,2.71,-0.29,32,3,1,2750000,0.0345911949685534
Chad Johnson,32,19,11,2,11,0,49,406,357,0.879,3.63,1,0.9,811,3,0.273,3,134.0,-12.41,191,0,125,3.63,2.75,-0.88,32,1,1,1750000,0.0220125786163522
Martin Jones,29,62,62,36,19,5,176,1699,1523,0.896,2.94,3,7.0,3597,27,0.435,14,115.0,-22.87,193,0,300,2.94,2.65,-0.29,28,6,1,5750000,0.0723270440251572
Anton Khudobin,32,41,37,16,17,5,95,1232,1137,0.923,2.57,2,8.6,2220,23,0.622,3,86.0,16.04,180,0,206,2.57,2.79,0.22,32,2,1,2500000,0.0314465408805031
Keith Kinkaid,29,41,38,15,18,6,129,1188,1059,0.891,3.36,3,4.3,2302,15,0.395,11,120.0,-21.92,191,0,300,3.36,2.71,-0.66,27,2,1,1250000,0.0157232704402515
Joonas Korpisalo,24,27,21,10,7,3,67,651,584,0.897,2.95,0,2.7,1361,8,0.381,4,114.0,-8.32,191,0,62,2.95,2.53,-0.42,23,2,0,900000,0.0113207547169811
Mikko Koskinen,30,55,51,25,21,6,146,1551,1405,0.906,2.93,4,8.0,2992,24,0.471,8,104.0,-6.21,201,0,31,2.93,2.83,-0.1,29,1,1,2500000,0.0314465408805031
Darcy Kuemper,28,55,55,27,20,8,126,1677,1551,0.925,2.33,5,12.0,3251,36,0.655,6,83.0,25.06,196,0,161,2.33,2.49,0.16,28,2,1,1850000,0.0232704402515723
Robin Lehner,27,46,43,25,13,5,93,1323,1230,0.93,2.13,6,10.2,2616,26,0.605,4,78.0,26.24,193,0,46,2.13,2.57,0.44,26,1,1,1500000,0.0188679245283018
Henrik Lundqvist,36,52,52,18,23,10,158,1699,1541,0.907,3.07,0,9.0,3089,30,0.577,7,103.0,-4.87,185,0,205,3.07,2.93,-0.14,32,7,1,8500000,0.1069182389937107
Jacob Markström,29,60,60,28,23,9,166,1896,1730,0.912,2.77,1,11.1,3599,34,0.567,7,97.0,4.89,198,0,31,2.77,2.82,0.05,27,3,1,3666667,0.0461215974842767
Curtis McElhinney,35,33,33,20,11,2,85,968,883,0.912,2.58,2,5.6,1978,17,0.515,6,97.0,2.25,185,0,176,2.58,2.83,0.25,34,2,1,850000,0.010691823899371
Petr Mrázek,26,40,40,23,14,3,95,1104,1009,0.914,2.39,4,6.6,2387,23,0.575,4,95.0,4.51,185,0,141,2.39,2.5,0.11,26,1,1,1500000,0.0188679245283018
Matt Murray,24,50,50,29,14,6,129,1594,1465,0.919,2.69,4,10.4,2880,29,0.58,10,90.0,14.67,193,0,83,2.69,2.75,0.06,22,3,0,3750000,0.0471698113207547
Antti Niemi,35,17,17,8,6,2,61,539,478,0.887,3.78,0,1.7,969,4,0.235,5,126.0,-12.42,188,0,300,3.78,2.66,-1.12,34,1,1,950000,0.0119496855345911
Anders Nilsson,28,36,34,14,19,1,101,1098,997,0.908,2.97,2,5.9,2040,14,0.412,6,102.0,-2.04,198,0,62,2.97,2.71,-0.26,27,2,1,2500000,0.0314465408805031
Calvin Pickard,26,17,12,4,6,2,48,384,336,0.875,3.86,1,0.7,747,4,0.333,4,139.0,-13.39,185,0,49,3.86,2.92,-0.94,26,1,0,800000,0.010062893081761
Carey Price,31,66,64,35,24,6,161,1952,1791,0.918,2.49,4,12.5,3880,37,0.578,6,92.0,14.94,191,0,5,2.49,2.57,0.08,29,8,1,10500000,0.1320754716981132
Jonathan Quick,33,46,46,16,23,7,149,1329,1180,0.888,3.38,2,4.3,2648,19,0.413,11,124.0,-29.21,185,0,72,3.38,2.79,-0.59,27,10,1,5800000,0.0729559748427673
Antti Raanta,29,12,12,5,6,0,33,351,318,0.906,2.88,0,1.8,687,6,0.5,1,104.0,-1.36,183,0,300,2.88,2.86,-0.02,29,3,1,4250000,0.0534591194968553
Tuukka Rask,31,46,45,27,13,5,109,1245,1136,0.912,2.48,4,7.3,2635,24,0.533,5,97.0,3.21,191,0,21,2.48,2.39,-0.09,26,8,0,7000000,0.0880503144654088
James Reimer,30,36,29,13,12,5,93,929,836,0.9,3.09,0,4.2,1805,10,0.345,6,111.0,-9.27,188,0,99,3.09,2.7,-0.39,28,5,1,3400000,0.0427672955974842
Pekka Rinne,36,56,55,30,19,4,130,1581,1451,0.918,2.42,4,10.1,3220,30,0.545,7,91.0,12.5,196,0,258,2.42,2.6,0.18,29,7,1,7000000,0.0880503144654088
David Rittich,26,45,42,27,9,5,109,1228,1119,0.911,2.61,1,7.0,2503,26,0.619,8,98.0,1.68,191,0,300,2.61,2.62,0.01,25,1,0,800000,0.010062893081761
Juuse Saros,23,31,27,17,10,2,74,870,796,0.915,2.62,3,5.3,1696,14,0.519,6,94.0,4.41,180,0,99,2.62,2.8,0.19,23,3,0,1500000,0.0188679245283018
Cory Schneider,32,26,23,6,13,4,70,718,648,0.903,3.06,1,3.4,1372,10,0.435,5,108.0,-5.29,191,0,26,3.06,2.69,-0.38,29,7,1,6000000,0.0754716981132075
Mike Smith,36,42,40,23,16,2,109,1069,960,0.898,2.72,2,4.6,2400,20,0.5,9,113.0,-12.65,196,0,161,2.72,2.53,-0.2,31,6,1,5666667,0.0712788301886792
Garret Sparks,25,20,17,8,9,1,58,592,534,0.902,3.15,1,2.8,1105,8,0.471,3,109.0,-4.64,191,0,190,3.15,2.63,-0.52,24,2,0,675000,0.0084905660377358
Cam Talbot,31,35,32,11,17,3,108,997,889,0.892,3.4,1,3.6,1906,9,0.281,10,120.0,-18.14,193,0,300,3.4,2.83,-0.57,28,3,1,4166666,0.052410893081761
Linus Ullmark,25,37,34,15,14,5,109,1146,1037,0.905,3.11,2,5.8,2102,18,0.529,6,106.0,-5.71,193,0,163,3.11,2.65,-0.47,23,2,0,750000,0.0094339622641509
Semyon Varlamov,30,49,49,20,19,9,136,1496,1360,0.909,2.87,2,8.2,2839,25,0.51,9,101.0,-1.16,188,0,23,2.87,2.72,-0.16,25,5,0,5900000,0.0742138364779874
Andrei Vasilevskiy,24,53,53,39,10,4,128,1713,1585,0.925,2.4,6,12.4,3204,34,0.642,7,83.0,26.4,191,0,19,2.4,2.55,0.15,21,3,0,3500000,0.0440251572327044
Cam Ward,34,33,29,16,12,4,115,1113,998,0.897,3.67,0,4.6,1882,15,0.517,5,115.0,-14.68,185,0,25,3.67,3.23,-0.44,34,1,1,3000000,0.0377358490566037
Jake Allen,29,24,21,12,6,3,48,655,607,0.927,2.15,2,4.9,1339,14,0.667,2,81.0,11.23,188,0,34,2.15,2.49,0.34,25,4,0,4350000,0.0533742331288343
Frederik Andersen,30,52,52,29,13,7,143,1577,1434,0.909,2.85,3,8.9,3007,27,0.519,8,100.0,-0.4,193,0,87,2.85,2.65,-0.21,26,5,0,5000000,0.0613496932515337
Jonathan Bernier,31,46,41,15,22,3,126,1353,1227,0.907,2.95,1,7.2,2566,17,0.415,5,103.0,-3.66,183,0,11,2.95,2.95,-0.01,29,3,1,3000000,0.0368098159509202
Jordan Binnington,26,50,50,30,13,7,126,1430,1304,0.912,2.56,3,8.4,2948,28,0.56,5,97.0,3.3,185,0,88,2.57,2.63,0.07,25,2,0,4400000,0.0539877300613496
Ben Bishop,33,44,43,21,16,4,103,1286,1183,0.92,2.5,2,8.7,2474,27,0.628,5,89.0,13.28,201,0,85,2.5,2.61,0.11,30,6,1,4916667,0.0603272024539877
Sergei Bobrovsky,31,50,48,23,19,6,151,1505,1354,0.9,3.23,1,6.9,2806,20,0.417,10,111.0,-14.91,188,0,300,3.23,2.93,-0.3,30,7,1,10000000,0.1226993865030674
Laurent Brossoit,26,19,15,6,7,1,54,512,458,0.895,3.28,0,2.1,988,7,0.467,1,117.0,-7.7,191,0,164,3.28,3.06,-0.22,26,1,0,1225000,0.0150306748466257
Jack Campbell,28,26,26,11,12,3,73,761,688,0.904,2.8,0,3.8,1567,11,0.423,4,106.0,-4.19,188,0,11,2.8,2.53,-0.26,26,2,0,675000,0.008282208588957
Corey Crawford,35,40,39,16,20,3,108,1294,1186,0.917,2.77,1,8.3,2340,25,0.641,3,92.0,9.01,188,0,52,2.77,2.94,0.18,29,6,1,6000000,0.0736196319018405
Aaron Dell,30,33,30,12,15,3,92,986,894,0.907,3.01,0,5.3,1834,15,0.5,5,103.0,-2.84,183,0,300,2.98,2.99,0.02,29,2,1,1900000,0.0233128834355828
Thatcher Demko,24,27,25,13,10,2,78,822,744,0.905,3.06,0,4.2,1529,15,0.6,5,105.0,-3.67,193,0,36,3.06,2.96,-0.1,23,2,0,1050000,0.012883435582822
Louis Domingue,27,17,15,3,9,2,51,433,382,0.882,3.81,0,1.2,803,4,0.267,5,130.0,-11.85,191,1,138,3.81,2.84,-0.97,26,2,0,1150000,0.0141104294478527
Devan Dubnyk,33,30,28,12,15,2,93,849,756,0.89,3.35,1,3.1,1665,9,0.321,5,121.0,-16.23,198,0,14,3.35,2.37,-0.99,29,6,1,4333333,0.0531697300613496
Brian Elliott,34,31,27,16,7,4,80,796,716,0.899,2.87,2,3.6,1674,14,0.519,8,111.0,-8.02,188,0,291,2.87,2.65,-0.22,34,1,1,2000000,0.0245398773006134
Marc-André Fleury,35,49,48,27,16,5,133,1399,1266,0.905,2.77,5,7.2,2880,24,0.5,9,105.0,-6.5,188,0,1,2.77,2.5,-0.27,34,3,1,7000000,0.0858895705521472
Pavel Francouz,29,34,30,21,7,4,77,996,919,0.923,2.41,1,7.0,1914,17,0.567,5,85.0,13.06,183,1,300,2.42,2.52,0.11,29,1,1,950000,0.0116564417177914
John Gibson,26,51,51,20,26,5,149,1552,1403,0.904,3.0,1,7.8,2981,22,0.431,10,106.0,-8.66,188,0,39,3.0,2.79,-0.21,25,8,0,6400000,0.0785276073619632
Thomas Greiss,34,31,28,16,9,4,73,838,765,0.913,2.74,0,5.0,1596,15,0.536,5,96.0,2.77,188,0,94,2.75,2.64,-0.1,31,3,1,3333333,0.0408997914110429
Philipp Grubauer,28,36,36,18,12,4,90,1067,977,0.916,2.63,2,6.7,2057,17,0.472,4,93.0,6.48,185,0,112,2.63,2.59,-0.04,26,3,0,3333333,0.0408997914110429
Jaroslav Halák,34,31,29,18,6,6,73,905,832,0.919,2.39,3,6.1,1833,18,0.621,3,89.0,8.83,180,0,271,2.39,2.49,0.1,33,2,1,2750000,0.0337423312883435
Connor Hellebuyck,26,58,56,31,21,5,140,1796,1656,0.922,2.57,6,12.5,3269,36,0.643,6,86.0,22.4,193,0,130,2.57,2.95,0.38,25,6,0,6166666,0.0756646134969325
Braden Holtby,30,48,47,25,14,6,142,1385,1243,0.897,3.11,0,6.0,2743,22,0.468,11,113.0,-16.76,188,0,93,3.11,2.82,-0.29,25,5,0,6100000,0.0748466257668711
