,,,Goal,Goal,Goal,Goal,Goal,Goal,,,,Goal,Goal,,Goal,Goal,Goal,Goal,Goal,Goal,Scor,Scor,Scor,Scor,-additional
Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,-9999
Jake Allen,28,STL,46,45,19,17,8,121,1277,1156,.905,2.83,3,6.5,2568,25,.556,11,105,-5.90,0,0,0,0,allenja01
Frederik Andersen,29,TOR,60,60,36,16,7,162,1958,1796,.917,2.77,1,12.5,3510,38,.633,7,92,14.48,0,1,1,2,anderfr01
Craig Anderson,37,OTT,50,47,17,27,4,163,1676,1513,.903,3.51,2,8.1,2785,19,.404,8,108,-11.94,0,2,2,0,andercr01
Richard Bachman,31,VAN,1,1,0,1,0,6,29,23,.793,6.00,0,-0.2,60,0,.000,1,,,0,0,0,0,bachmri01
Jonathan Bernier,30,DET,35,30,9,18,5,98,1025,927,.904,3.16,1,5.1,1860,13,.433,5,106,-5.61,0,0,0,0,bernijo01
Jordan Binnington,25,STL,32,30,24,5,1,59,807,748,.927,1.89,5,6.0,1876,20,.667,1,81,13.74,0,0,0,0,binnijo01
Ben Bishop,32,DAL,46,45,27,15,2,87,1323,1236,.934,1.98,7,10.8,2637,31,.689,1,73,32.24,0,2,2,2,bishobe01
Mackenzie Blackwood,22,NJD,23,21,10,10,0,55,669,614,.918,2.61,2,4.3,1264,14,.667,4,91,5.30,0,0,0,0,blackma01
Sergei Bobrovsky,30,CBJ,62,61,37,24,1,153,1756,1603,.913,2.58,9,10.4,3557,31,.508,13,97,5.27,0,0,0,2,bobrose01
Landon Bow,23,DAL,2,0,0,0,0,1,19,18,.947,1.03,0,0.2,58,0,,0,,,0,0,0,0,bowla01
Kevin Boyle,26,ANA,5,4,1,3,0,10,139,129,.928,2.17,1,1.0,277,2,.500,0,,,0,0,0,0,boyleke01
Laurent Brossoit,25,WPG,21,19,13,6,2,49,652,603,.925,2.52,1,4.7,1165,12,.632,2,83,9.77,0,0,0,0,brossla01
Peter Budaj,36,LAK,3,1,0,1,0,6,33,27,.818,5.02,0,-0.1,72,0,.000,1,,,0,0,0,0,budajpe01
Jack Campbell,27,LAK,31,25,10,14,1,61,845,784,.928,2.30,2,6.3,1593,16,.640,3,80,15.16,0,1,1,0,campbja01
Eric Comrie,23,WPG,1,1,0,1,0,5,28,23,.821,5.01,0,-0.1,60,0,.000,1,,,0,0,0,0,comrier01
Mike Condon,28,OTT,2,2,0,2,0,8,40,32,.800,6.38,0,-0.2,75,0,.000,2,,,0,0,0,0,condomi01
Pheonix Copley,27,WSH,27,24,16,7,3,74,776,702,.905,2.90,1,3.9,1529,14,.583,4,106,-4.06,0,1,1,0,copleph01
Corey Crawford,34,CHI,39,39,14,18,5,108,1176,1068,.908,2.93,2,6.3,2213,17,.436,5,102,-2.00,0,4,4,0,crawfco01
Joey Daccord,22,OTT,1,1,0,1,0,5,40,35,.875,5.00,0,0.1,60,0,.000,0,,,0,0,0,0,daccojo01
Scott Darling,30,CAR,8,8,2,4,2,27,233,206,.884,3.34,0,0.7,486,2,.250,3,,,0,0,0,0,darlisc01
Collin Delia,24,CHI,16,14,6,4,3,50,545,495,.908,3.61,0,2.9,831,6,.429,2,102,-0.88,0,0,0,0,deliaco01
Aaron Dell,29,SJS,25,20,10,8,4,70,613,543,.886,3.17,2,1.9,1323,6,.300,6,127,-14.75,0,0,0,0,dellaa01
Thatcher Demko,23,VAN,9,8,4,3,1,25,288,263,.913,2.81,0,1.7,534,6,.750,2,,,0,1,1,0,demkoth01
Casey DeSmith,27,PIT,36,30,15,11,5,89,1060,971,.916,2.75,3,6.6,1944,18,.600,2,93,6.54,0,0,0,2,desmica01
Michael Dipietro,19,VAN,1,1,0,1,0,7,24,17,.708,7.00,0,-0.4,60,0,.000,1,,,0,0,0,0,dipiemi01
Louis Domingue,26,TBL,26,26,21,5,0,75,812,737,.908,2.88,0,4.3,1561,14,.538,2,102,-1.81,0,1,1,4,dominlo01
Devan Dubnyk,32,MIN,67,66,31,28,6,163,1877,1714,.913,2.54,2,11.1,3855,38,.576,13,96,6.18,0,2,2,2,dubnyde01
Brian Elliott,33,PHI,26,23,11,11,1,69,741,672,.907,2.96,1,3.9,1397,12,.522,4,103,-2.21,0,1,1,2,elliobr01
Marc-André Fleury,34,VEG,61,61,35,21,5,152,1745,1593,.913,2.51,8,10.3,3635,34,.557,7,97,5.28,0,2,2,4,fleurma01
