PLAYER,HEIGHT,HANDED,DRAFTED,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,GA60,xGA60,GSAx60,SIGNING AGE,CLAUSE,LENGTH,SIGNING,CAP HIT,CAP HIT %
1. Quinn Hughes,178,Left,7 - Round 1 - 2018 (VAN),6.81,145,338,204,0.22,4.72,10.99,6.64,1063,792,57.30,2018,1441,58.34,1488,1100,57.50,114.27,91.43,55.55,-,-,-,21,,6,RFA,7850000,0.096
2. Elias Pettersson,188,Left,5 - Round 1 - 2017 (VAN),32.08,242,462,354,1.27,9.58,18.28,14.01,896,690,56.49,1671,1266,56.89,1266,956,56.98,110.63,80.29,57.95,-,-,-,22,,3,RFA,7350000,0.09
3. Brock Boeser,185,Right,23 - Round 1 - 2015 (VAN),19.69,150,271,209,1.01,7.70,13.91,10.73,691,523,56.92,1290,971,57.05,972,747,56.54,73.75,61.02,54.72,-,-,-,25,,3,RFA,6650000,0.081
4. Tyler Myers,203,Right,12 - Round 1 - 2008 (BUF),5.00,96,207,136,0.20,3.80,8.19,5.39,640,891,41.80,1142,1622,41.32,866,1214,41.63,62.45,89.18,41.19,-,-,-,29,M-NTC,5,UFA,6000000,0.074
5. J.T. Miller,185,Left,15 - Round 1 - 2011 (NYR),23.10,205,380,291,0.89,7.91,14.66,11.23,932,761,55.05,1763,1348,56.67,1315,1037,55.91,105.14,88.98,54.16,-,-,-,25,,5,RFA,5250000,0.066
6. Thatcher Demko,193,Left,36 - Round 2 - 2014 (VAN),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.37,2.95,-0.42,25,,5,RFA,5000000,0.061
7. Conor Garland,178,Right,123 - Round 5 - 2015 (ARI),16.16,155,259,215,0.85,8.17,13.65,11.33,587,527,52.69,1124,963,53.86,836,744,52.91,62.19,52.32,54.31,-,-,-,25,,5,RFA,4950000,0.061
8. Ilya Mikheyev,191,Left,-,10.65,91,138,112,0.82,7.02,10.64,8.64,354,394,47.33,645,725,47.08,474,548,46.38,35.58,43.50,44.99,-,-,-,27,M-NTC,4,UFA,4750000,0.058
9. Filip Hronek,183,Right,53 - Round 2 - 2016 (DET),6.36,124,259,168,0.27,5.36,11.19,7.26,693,659,51.26,1254,1272,49.64,951,941,50.26,76.51,63.87,54.50,-,-,-,23,,3,RFA,4400000,0.054
10. Anthony Beauvillier,180,Left,28 - Round 1 - 2015 (NYI),19.23,171,276,226,0.93,8.25,13.32,10.90,673,591,53.24,1293,1101,54.01,958,834,53.46,70.34,59.03,54.37,-,-,-,24,,3,RFA,4150000,0.051
11. Pius Suter,180,Left,-,11.76,95,163,131,0.70,5.63,9.66,7.77,400,480,45.45,758,1038,42.20,558,713,43.90,38.61,50.66,43.25,-,-,-,25,,2,UFA,3250000,0.04
12. Tanner Pearson,185,Left,30 - Round 1 - 2012 (LAK),2.18,17,30,27,0.69,5.40,9.52,8.58,94,107,46.77,169,192,46.81,129,146,46.91,8.19,11.61,41.39,-,-,-,28,M-NTC,3,UFA,3250000,0.04
13. Ian Cole,185,Left,18 - Round 1 - 2007 (STL),4.53,105,205,138,0.19,4.44,8.67,5.84,619,753,45.12,1157,1416,44.97,881,1049,45.65,68.09,75.93,47.28,-,-,-,33,,1,UFA,3000000,0.036
14. Carson Soucy,196,Left,137 - Round 5 - 2013 (MIN),3.06,82,185,123,0.16,4.21,9.50,6.32,526,520,50.29,1009,1063,48.70,747,794,48.48,49.09,56.68,46.41,-,-,-,25,,3,UFA,2750000,0.034
15. Tucker Poolman,188,Right,127 - Round 5 - 2013 (WPG),0.06,3,4,3,0.09,4.30,5.73,4.30,19,18,51.35,40,33,54.79,25,22,53.19,1.29,1.87,40.82,-,-,-,28,,4,UFA,2500000,0.031
16. Teddy Blueger,183,Left,52 - Round 2 - 2012 (PIT),10.69,79,118,97,0.84,6.21,9.27,7.63,322,468,40.76,581,861,40.29,436,637,40.63,32.27,48.46,39.97,-,-,-,26,,2,RFA,2200000,0.027
17. Akito Hirose,183,Left,-,0.00,0,0,0,0.00,0.00,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,0.00,0.00,-,-,-,23,,1,ELC,2026667,0.025
18. Andrei Kuzmenko,180,Right,-,21.52,138,260,200,1.06,6.79,12.79,9.84,710,474,59.97,1343,872,60.63,1005,656,60.51,80.20,47.89,62.62,-,-,-,26,,1,ELC,950000,0.012
